                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.26683,                0.37037,                      1,                0.45529,               0.070326,              0.0032971,              0.0032971
                      1,                0.26097,                0.37037,                      1,                0.46239,                0.03967,               0.005974,               0.005974
                      2,                0.25539,                0.22222,                      1,                 0.4847,              0.0083533,              0.0079909,              0.0079909
                      3,                 0.2378,                0.37037,                      1,                 0.4603,                0.00703,                0.00703,                0.00703
                      4,                0.25049,                 0.2963,                      1,                0.46839,                0.00703,                0.00703,                0.00703
                      5,                0.24279,                0.33333,                      1,                0.46532,                0.00604,                0.00604,                0.00604
                      6,                0.22789,                0.37037,                      1,                0.46062,                0.00505,                0.00505,                0.00505
                      7,                0.21476,                0.37037,                      1,                0.44616,                0.00406,                0.00406,                0.00406
                      8,                0.19843,                0.44444,                      1,                0.44358,                0.00307,                0.00307,                0.00307
                      9,                0.17158,                0.37037,                      1,                0.47528,                0.00208,                0.00208,                0.00208
